1|Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid|no tags|INGREDIENT|100|166|41|0.51|0.37
2|Apples, raw, with skin|no tags|INGREDIENT|100|52|13.81|0.26|0.17
3|Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)|no tags|INGREDIENT|100|42|11.27|0.17|0.1
4|Apricots, dried, sulfured, uncooked|no tags|INGREDIENT|100|241|62.64|3.39|0.51
5|Bananas, raw|no tags|INGREDIENT|100|89|22.84|1.09|0.33
6|Basil, fresh|no tags|INGREDIENT|100|23|2.65|3.15|0.64
7|Beans, snap, green, raw|no tags|INGREDIENT|100|31|6.97|1.83|0.22
8|Carrots, raw|no tags|INGREDIENT|100|41|9.58|0.93|0.24
9|Celery, raw|no tags|INGREDIENT|100|16|2.97|0.69|0.17
10|Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 Flakes|no tags|INGREDIENT|100|353|78.15|14.44|1.41
11|Cereals ready-to-eat, rice, puffed, fortified|no tags|INGREDIENT|100|402|89.8|6.3|0.5
12|Chives, raw|no tags|INGREDIENT|100|30|4.35|3.27|0.73
13|Coriander (cilantro) leaves, raw|no tags|INGREDIENT|100|23|3.67|2.13|0.52
14|Egg, white, raw, fresh|no tags|INGREDIENT|100|52|0.73|10.9|0.17
15|Figs, dried, uncooked|no tags|INGREDIENT|100|249|63.87|3.3|0.93
16|Fish, haddock, smoked|no tags|INGREDIENT|100|116|0|25.23|0.96
17|Garlic, raw|no tags|INGREDIENT|100|149|33.06|6.36|0.5
18|Ginger root, raw|no tags|INGREDIENT|100|80|17.77|1.82|0.75
19|Honey|no tags|INGREDIENT|100|304|82.4|0.3|0
20|Lemon juice, raw|no tags|INGREDIENT|100|22|6.9|0.35|0.24
21|Lemon peel, raw|no tags|INGREDIENT|100|47|16|1.5|0.3
22|Limes, raw|no tags|INGREDIENT|100|30|10.54|0.7|0.2
23|Milk substitutes, fluid, with lauric acid oil|no tags|INGREDIENT|100|61|6.16|1.75|3.41
24|Millet, puffed|no tags|INGREDIENT|100|354|80|13|3.4
25|Mollusks, scallop, mixed species, raw|no tags|INGREDIENT|100|69|3.18|12.06|0.49
26|Mushrooms, white, raw|no tags|INGREDIENT|100|22|3.26|3.09|0.34
27|Nuts, almonds, dry roasted, without salt added|no tags|INGREDIENT|100|595|21.2|21.06|52.05
28|Oil, olive, salad or cooking|no tags|INGREDIENT|100|884|0|0|100
29|Onions, raw|no tags|INGREDIENT|100|40|9.34|1.1|0.1
30|Orange peel, raw|no tags|INGREDIENT|100|97|25|1.5|0.2
31|Parsley, fresh|no tags|INGREDIENT|100|36|6.33|2.97|0.79
32|Pears, raw|no tags|INGREDIENT|100|57|15.23|0.36|0.14
33|Peas, green, raw|no tags|INGREDIENT|100|81|14.45|5.42|0.4
34|Peppers, hot chili, red, raw|no tags|INGREDIENT|100|40|8.81|1.87|0.44
35|Peppers, sweet, red, raw|no tags|INGREDIENT|100|31|6.03|0.99|0.3
36|Plums, dried (prunes), uncooked|no tags|INGREDIENT|100|240|63.88|2.18|0.38
37|Potato flour|no tags|INGREDIENT|100|357|83.1|6.9|0.34
38|Quinoa, cooked|no tags|INGREDIENT|100|120|21.3|4.4|1.92
39|Raisins, seedless|no tags|INGREDIENT|100|299|79.18|3.07|0.46
40|Rice flour, white|no tags|INGREDIENT|100|366|80.13|5.95|1.42
41|Rice noodles, cooked|no tags|INGREDIENT|100|109|24.9|0.91|0.2
42|Rice, brown, long-grain, cooked|no tags|INGREDIENT|100|111|22.96|2.58|0.9
43|SILK Plain soy yogurt|no tags|INGREDIENT|100|66|9.69|2.64|1.76
44|SWANSON BROTH, Vegetable Broth|no tags|INGREDIENT|100|5|1.28|0|0
45|Seeds, flaxseed|no tags|INGREDIENT|100|534|28.88|18.29|42.16
46|Seeds, pumpkin and squash seed kernels, dried|no tags|INGREDIENT|100|559|10.71|30.23|49.05
47|Seeds, pumpkin and squash seeds, whole, roasted, with salt added|no tags|INGREDIENT|100|446|53.75|18.55|19.4
48|Seeds, sesame seeds, whole, dried|no tags|INGREDIENT|100|573|23.45|17.73|49.67
49|Seeds, sunflower seed kernels, toasted, with salt added|no tags|INGREDIENT|100|619|20.59|17.21|56.8
50|Spearmint, fresh|no tags|INGREDIENT|100|44|8.41|3.29|0.73
51|Spices, nutmeg, ground|no tags|INGREDIENT|100|525|49.29|5.84|36.31
52|Spices, paprika|no tags|INGREDIENT|100|282|53.99|14.14|12.89
53|Spices, pepper, black|no tags|INGREDIENT|100|251|63.95|10.39|3.26
54|Spinach, raw|no tags|INGREDIENT|100|23|3.63|2.86|0.39
55|Syrups, maple|no tags|INGREDIENT|100|260|67.04|0.04|0.06
56|Tomatoes, red, ripe, raw, year round average|no tags|INGREDIENT|100|18|3.89|0.88|0.2
57|Vanilla extract|no tags|INGREDIENT|100|288|12.65|0.06|0.06
