58|Mixed Cereal Muesli with Grated Apples|basic recipe|RECIPE|cf ONC
59|Smoked haddock kedgeree with grilled tomatoes|basic recipe|RECIPE|ONC
60|Quinoa Porridge with Bananas|basic recipe|RECIPE|cf ONC
61|Millet or rice flake porridge|basic recipe|RECIPE|cf ONC
62|Dried fruit compôte with orange|basic recipe|RECIPE|ONC
63|Fruit crumble|basic recipe|RECIPE|ONC
64|Lime and apple drink|basic recipe|RECIPE|ONC
65|Ginger and apple blender drink|basic recipe|RECIPE|ONC
66|Grilled scallops with green sauce julienne vegetables and rice noodles|basic recipe|RECIPE|ONC
67|Mushroom stroganoff with rice and quinoa pilaf|basic recipe|RECIPE|ONC
